	sampleID	x	y
623	4352951452	11.505999999999998	3.88
624	4352951742	-4.823	5.898
625	4352952976	-15.649	11.957
626	4352953641	-4.472	11.233
627	4352954205	34.026	0.77
628	4352954788	-4.823	5.898
629	4352955109	-1.5490000000000002	5.609
630	4352955441	-7.81	10.83
631	4352955465	-9.53	8.48
632	4352957097	-4.823	5.898
633	4352957141	-14.917	13.567
634	4352957892	-14.917	13.567
635	4352957917	39.909	-3.511
636	4352957918	39.909	-3.511
637	4352958528	13.844	4.777
638	4352958657	-15.582	11.890999999999998
639	4352959080	-9.53	8.48
640	4352959108	13.302	-8.884
641	4352959426	-8.33	11.47
642	4352959427	-8.33	11.47
643	4352960011	-6.13	13.2
644	4352960868	13.558	4.341
645	4352960968	38.948	-4.94
646	4352961189	9.455	0.384
647	4352962595	-10.03	9.28
648	4352963106	-5.9	13.21
649	4352963449	-4.535	11.235
650	4352963780	-4.823	5.898
651	4352963973	13.558	4.341
652	4352965241	-14.917	13.567
653	4352965480	9.455	0.384
654	4352965807	35.299	-23.716
655	4352966031	-5.9	13.21
656	4352966237	-4.535	11.235
657	4352966763	13.558	4.341
658	4352966913	13.558	4.341
659	4352966939	13.558	4.341
660	4352967881	-0.261	6.093999999999999
661	4352968031	-14.917	13.567
662	4352968128	-1.5490000000000002	5.609
663	4352968346	-4.472	11.233
664	4352968427	14.143	10.188
665	4352968801	-4.235	11.15
666	4352969115	39.909	-3.511
667	4352969264	14.442	5.747000000000001
668	4352970045	11.632	4.332
669	4352970329	13.844	4.777
670	4352970402	38.948	-4.94
671	4352970707	-15.582	11.890999999999998
672	4352971429	21.017	4.283
673	4352972008	13.844	4.777
674	4352972045	29.701	-0.7509999999999999
675	4352972378	34.026	0.77
676	4352972495	-15.9	13.55
677	4352972811	13.607	7.902
678	4352972988	29.701	-0.7509999999999999
679	4352973273	-4.535	11.235
680	4352973391	-15.9	13.55
681	4352973556	31.651	-1.962
682	4352974273	13.302	-8.884
683	4352974469	14.193	10.102
684	4352974538	-15.649	11.957
685	4352975207	38.948	-4.94
686	4352975640	11.515999999999998	3.972
687	4352975654	9.455	0.384
688	4352975931	13.844	4.777
689	4352976404	-4.823	5.898
690	4352976457	18.583	4.367
691	4352977963	13.844	4.777
692	4352978633	21.017	4.283
693	4352979335	34.026	0.77
694	4352979665	-1.5490000000000002	5.609
695	4352980672	35.299	-23.716
696	4352981379	-4.472	11.233
697	4352981467	-4.535	11.235
698	4352981541	18.583	4.367
699	4352982070	-8.15	12.89
700	4352982359	13.302	-8.884
701	4352983133	-14.917	13.567
702	4352983702	14.29	10.658
703	4352984845	13.844	4.777
704	4352985015	-4.235	11.15
705	4352985106	31.651	-1.962
706	4352985355	-4.235	11.15
707	4352985398	-4.235	11.15
708	4352987155	-8.15	12.89
709	4352987871	-0.261	6.093999999999999
710	4352989371	34.026	0.77
711	4352989753	-8.16	12.9
712	4352989999	13.578	7.354
713	4352990050	14.188	10.211
714	4352990355	39.909	-3.511
715	4352990536	-8.45	11.88
716	4352990630	9.455	0.384
717	4352990711	39.909	-3.511
718	4352991073	-15.649	11.957
719	4352991143	29.701	-0.7509999999999999
720	4352991156	39.909	-3.511
721	4352991513	-0.261	6.093999999999999
722	4352992412	-9.53	8.48
723	4352992784	-14.917	13.567
724	4352992867	-4.472	11.233
725	4352992929	13.844	4.777
726	4352993032	-1.5490000000000002	5.609
727	4352993087	-1.5490000000000002	5.609
728	4352993176	13.844	4.777
729	4352993412	21.017	4.283
730	4352993416	18.583	4.367
731	4352993778	-15.582	11.890999999999998
732	4352994170	31.651	-1.962
733	4352994268	-4.535	11.235
734	4352994405	35.299	-23.716
735	4352995567	14.442	5.747000000000001
736	4352995612	-4.472	11.233
737	4352995897	39.909	-3.511
738	4352996445	-4.823	5.898
739	4352996801	-8.15	12.89
740	4352997129	13.558	4.341
741	4352997564	-7.81	10.83
742	4352998552	14.143	10.188
743	4352998700	21.017	4.283
744	4352999126	31.651	-1.962
745	4352999427	9.455	0.384
746	4352999500	-7.81	10.83
747	4352999782	11.515999999999998	3.972
748	4353000415	-10.03	9.28
749	4353000663	-8.45	11.88
750	4353000763	34.026	0.77
751	4353001017	-4.472	11.233
752	4353001842	21.017	4.283
753	4353003095	-8.45	11.88
754	4353003231	-4.472	11.233
755	4353003260	13.4	7.322999999999999
756	4353003382	-9.53	8.48
757	4353003383	-9.53	8.48
758	4353003617	11.515999999999998	3.972
759	4353004346	-10.03	9.28
760	4353004912	34.026	0.77
761	4353005335	-4.823	5.898
762	4353006825	34.026	0.77
763	4353007343	-4.535	11.235
764	4353007348	34.026	0.77
765	4353007492	18.583	4.367
766	4353007789	-7.81	10.83
767	4353007984	-14.917	13.567
768	4353008195	14.442	5.747000000000001
769	4353008378	-14.917	13.567
770	4353008521	14.442	5.747000000000001
771	4353008522	13.302	-8.884
772	4353010031	9.455	0.384
773	4353010148	9.455	0.384
774	4353010590	35.299	-23.716
775	4353010813	-15.582	11.890999999999998
